hour,small_part,med_part,sulf_diox,nitr_diox,trioxygen,temp,pres,rain,wind,wind_sp,date,carb_monox
23,13.0,43.0,1.0,19.0,29.0,7.6,1021.3,0.0,NNW,2.5,23-Oct-2014,200.0
21,77.0,115.0,31.0,74.0,10.0,0.0,1015.0,0.0,W,0.7,9-Jan-2016,2100.0
21,86.0,141.0,9.0,43.0,198.0,29.3,1000.9,0.0,SSE,0.4,11-Jul-2016,700.0
11,,,,,20.0,14.2,1015.2,0.0,ESE,1.9,29-Oct-2015,1222.923
0,77.0,57.0,41.0,48.0,16.0,-1.0,1024.2,0.0,SSW,1.3,7-Feb-2015,1300.0
9,,,,,,-5.1,1026.0,0.0,ENE,0.8,20-Dec-2015,1222.923
19,104.0,104.0,2.0,18.0,158.0,27.4,996.8,0.0,E,1.3,20-Jul-2016,800.0
21,6.0,6.0,4.0,13.0,69.0,0.7,1022.7,0.0,NE,2.4,22-Dec-2017,200.0
1,78.0,113.0,6.0,54.0,67.6872,25.1,996.6,0.0,NNW,0.8,4-Aug-2014,1222.923
5,81.0,26.0,8.0,36.0,2.0,19.1,999.3,0.4,NNW,1.4,9-Jun-2014,1500.0
3,262.0,205.0,,59.3317,17.7786,14.0,1014.2,0.0,N,0.0,6-Oct-2014,1222.923
17,14.0,27.0,4.0,11.0,82.0,9.2,1015.5,0.0,NNW,3.8,9-Apr-2014,400.0
19,279.0,279.0,54.0,163.0,34.0,7.1,1013.5,0.0,WNW,2.4,4-Feb-2018,3300.0
17,101.0,131.0,2.0,83.0,23.0,15.6,1012.3,0.0,N,1.2,12-Oct-2017,1600.0
12,439.0,488.0,42.0,155.0,6.0,1.5,1009.3,0.0,SW,1.1,1-Dec-2016,8500.0
15,35.0,35.0,4.0,19.0,193.0,31.2,1008.5,0.0,WSW,1.2,15-Sep-2017,500.0
4,10.0,31.0,3.0,9.0,86.0,5.3,1009.2,0.0,NW,4.4,9-Apr-2014,300.0
23,21.0,26.0,4.0,27.0,46.0,4.4,1018.5,0.0,NE,1.4,30-Nov-2017,800.0
9,34.0,34.0,2.0,31.0,60.0,21.9,1000.8,0.0,NE,1.2,15-Jul-2017,600.0
1,23.0,,3.0,9.0,78.0,20.6,990.8,0.0,E,0.5,5-Aug-2014,400.0
16,35.0,61.0,2.0,11.0,215.0,33.9,999.3,0.0,SE,1.7,21-Aug-2017,800.0
0,164.0,104.0,16.0,82.0,,7.0,1017.9,0.0,WNW,0.7,2-Nov-2014,1300.0
20,318.0,391.0,104.0,151.0,2.0,-0.8,1027.0,0.0,NE,1.2,9-Dec-2015,6500.0
5,45.0,46.0,17.0,48.0,12.0,18.2,1012.0,0.1,NNW,1.0,6-Sep-2014,1400.0
21,5.0,15.0,2.0,20.0,74.0,10.3,1021.0,0.0,NE,2.2,24-Mar-2017,500.0
21,74.0,163.0,23.0,56.0,109.0,21.8,1009.0,0.0,SSE,1.7,16-May-2014,800.0
20,122.0,122.0,2.0,36.0,119.0,23.2,1000.9,0.0,N,1.4,4-Sep-2017,1500.0
21,14.0,30.0,2.0,23.0,44.0,25.0,1003.9,0.0,NE,0.8,2-Sep-2016,300.0
10,17.0,36.0,2.0,43.0,52.0,27.2,1003.6,0.0,SE,2.5,20-Jun-2016,400.0
17,8.0,34.0,4.0,21.0,54.0,4.3,1018.4,0.0,WNW,4.5,10-Feb-2018,300.0
19,151.0,183.0,4.0,42.0,151.4394,30.2,994.0,0.0,SW,1.6,6-Aug-2014,1222.923
8,87.0,87.0,15.0,73.0,5.0,-7.3,1027.0,0.0,E,0.7,29-Jan-2017,2800.0
14,161.0,186.0,14.0,38.0,56.0,16.3,1003.3,0.0,SSE,2.5,23-Oct-2015,1200.0
4,25.0,43.0,2.0,68.0,10.0,17.9,1003.8,0.0,N,1.0,2-Jun-2015,500.0
5,129.0,140.0,19.0,,1.0,-2.7,1024.4,0.0,N,1.9,20-Feb-2015,2400.0
0,217.0,257.0,39.0,57.0,14.0,-1.625,1013.0,0.0,NE,1.2,29-Jan-2018,300.0
22,139.0,169.0,9.0,31.0,110.0,24.7,1000.2,0.0,E,2.0,6-Sep-2015,1100.0
14,,,,,,2.25,1021.0,0.0,SW,1.6,25-Jan-2018,1222.923
2,47.0,131.0,9.0,75.0,6.0,13.5,1010.9,0.0,NE,0.9,16-Apr-2015,400.0
20,223.0,269.0,2.0,117.0,66.0,19.3,1006.0,0.0,NNE,0.9,1-Oct-2017,1900.0
13,69.0,107.0,25.0,70.0,181.0,32.4,999.3,0.0,SSW,3.3,17-Jul-2014,700.0
21,160.0,212.0,69.0,111.0,5.0,4.3,1013.8,0.0,ENE,0.9,2-Mar-2015,3100.0
17,94.0,129.0,22.0,78.0,49.0,8.7,1009.1,0.0,SSE,3.8,18-Feb-2018,1000.0
17,19.0,19.0,2.0,10.0,84.0,16.5,993.8,0.0,NNW,3.5,11-May-2016,300.0
5,80.0,77.0,4.0,61.0,24.0,24.8,990.1,0.0,ENE,0.4,6-Aug-2014,900.0
16,183.0,183.0,7.0,31.0,169.0,24.5,989.4,0.0,SE,1.7,11-May-2017,1100.0
14,156.0,159.0,19.0,37.0,208.0,28.2,1000.6,0.0,SSE,3.2,30-Apr-2016,1500.0
15,106.0,59.0,44.0,36.0,86.0,6.5,1019.3,0.0,SSE,2.0,16-Feb-2015,1000.0
20,24.0,46.0,2.0,75.0,32.0,14.7,1024.1,0.0,SW,1.4,24-Oct-2016,800.0
8,31.0,31.0,2.0,21.0,94.0,20.8,999.6,0.2,N,0.9,16-Jul-2016,700.0
9,59.0,65.0,60.0,51.0,1.0,-3.5,1024.4,0.0,NE,1.3,5-Feb-2015,1800.0
18,61.0,94.0,16.0,47.0,95.0,15.5,1010.6,0.0,SW,1.3,11-Apr-2015,600.0
23,44.0,108.0,2.0,93.0,2.0,12.7,1020.0,0.0,,0.0,28-Sep-2017,1100.0
5,19.0,19.0,2.0,31.0,19.0,4.2,1012.7,0.0,N,0.8,14-Oct-2015,400.0
6,51.0,51.0,2.0,30.0,6.0,14.5,1009.3,0.0,SSW,0.5,25-Sep-2015,700.0
19,93.0,119.0,51.0,93.0,23.0,3.2,1008.0,0.0,NE,0.6,10-Feb-2017,3100.0
20,27.0,38.0,2.0,31.0,83.0,19.9,1008.8,0.3,NE,0.9,31-Aug-2016,900.0
4,14.0,14.0,2.0,51.0,39.0,25.9,998.1,0.0,NNW,2.3,24-Aug-2015,400.0
21,52.0,99.0,2.0,31.0,174.0,28.8,996.3,0.0,NE,1.6,16-Aug-2016,800.0
22,74.0,163.0,23.0,56.0,109.0,20.9,1009.3,0.0,SSW,1.1,16-May-2014,800.0
5,247.0,247.0,46.0,97.0,12.0,2.0,1008.0,0.0,NW,2.1,15-Feb-2016,3900.0
7,30.0,30.0,9.0,48.0,22.0,13.9,1013.4,0.0,NNW,1.9,12-Oct-2016,500.0
9,69.0,99.0,46.0,63.0,1.0,8.5,1015.0,0.0,S,0.6,4-Dec-2014,2100.0
5,130.0,130.0,2.0,34.0,54.0,17.4,1002.5,0.0,NNW,1.1,30-Apr-2016,1000.0
7,43.0,71.0,2.0,52.0,19.0,22.8,1003.5,0.0,ESE,2.2,19-Aug-2016,600.0
3,9.0,46.0,2.0,17.0,59.0,-0.3,1018.0,0.0,NNE,1.7,11-Mar-2017,400.0
9,132.0,160.0,18.0,87.0,4.0,-3.0,1023.4,0.0,NE,0.9,11-Dec-2017,4200.0
17,26.0,26.0,5.0,45.0,30.0,10.2,1002.6,0.0,WNW,3.6,10-Nov-2017,600.0
8,21.0,53.0,19.0,32.0,52.0,32.7,992.8,0.0,NNE,1.5,10-Jul-2015,500.0
14,37.0,37.0,4.0,47.0,40.0,30.7,1001.0,0.0,NNW,1.4,13-Aug-2017,900.0
4,110.0,168.0,24.0,54.0,,7.3,1025.4,0.0,ENE,0.8,26-Mar-2016,1100.0
3,266.0,370.0,59.0,113.0,2.0,-0.7,1032.0,0.0,NE,1.6,15-Dec-2015,4700.0
22,35.0,81.0,2.0,47.0,79.0,23.1,995.9,0.0,E,1.2,29-May-2017,600.0
19,218.0,260.0,5.0,104.0,5.0,-1.5,1015.3,0.0,NE,0.1,3-Jan-2017,3600.0
3,10.0,16.0,13.0,15.0,53.0,-6.0,1025.0,0.0,NNE,1.1,30-Jan-2016,500.0
18,19.0,230.0,5.0,12.0,77.0,9.2,1009.3,0.0,NW,5.0,8-Apr-2014,400.0
14,59.0,59.0,2.0,16.0,107.0,26.8,996.0,0.0,E,1.1,30-Jul-2016,800.0
